"Nom usuel de l'installation","Numéro de l'installation","Nom de la commune","Code INSEE","Code postal","Nom du lieu dit","Numero de la voie","Nom de la voie","location","Longitude","Latitude","Aucun aménagement d'accessibilité","Accessibilité handicapés à mobilité réduite","Accessibilité handicapés sensoriels","Emprise foncière en m2","Gardiennée avec ou sans logement de gardien","Multi commune","Nombre total de place de parking","Nombre total de place de parking handicapés","Installation particulière","Desserte métro","Desserte bus","Desserte Tram","Desserte train","Desserte bateau","Desserte autre","Nombre total d'équipements sportifs","Nombre total de fiches équipements","Date de mise à jour de la fiche installation"
"Ferme Equestre de Mazerolles","441790003","Saint-Mars-du-Désert","44179","44850","le grand Patis","","","[ 47.365499 , -1.406412]","-1.406412","47.365499","Non","Oui","Non","","Avec logement de gardien","Non","20","0","Non","Non","Oui","Non","Non","Non","Non","8","8","2012-12-11"
"Circuits de Randonnee","441790005","Saint-Mars-du-Désert","44179","44850","","","","[ 47.365499 , -1.406412]","-1.406412","47.365499","Oui","Non","Non","","Non","Oui","0","0","Non","Non","Non","Non","Non","Non","Non","2","2","2011-06-06"
"Etang du Mortier","441790006","Saint-Mars-du-Désert","44179","44850","L 'étang du mortier","","","[ 47.365499 , -1.406412]","-1.406412","47.365499","Oui","Non","Non","","Non","Non","14","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-04-04"
"Espace Saint Martin","441790007","Saint-Mars-du-Désert","44179","44850","","","Impasse St Martin","[ 47.365499 , -1.406412]","-1.406412","47.365499","Non","Oui","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2011-06-06"
"Ecole Philippe Corentin","441790008","Saint-Mars-du-Désert","44179","44850","","","Impasse martin Dupas","[ 47.365499 , -1.406412]","-1.406412","47.365499","Non","Oui","Non","","Non","Non","66","5","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","1","1","2011-06-06"
"Ecole Saint Martin","441790009","Saint-Mars-du-Désert","44179","44850","","18","rue Julienne David","[ 47.365499 , -1.406412]","-1.406412","47.365499","Non","Oui","Non","","Non","Non","12","1","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","3","3","2011-06-06"
"Piscine Municipale","441800002","Saint-Mars-la-Jaille","44180","44540","","2","avenue Alexandre Braud","[ 47.524624 , -1.184975]","-1.184975","47.524624","Oui","Non","Non","","Non","Non","0","0","Piscine","Non","Oui","Non","Non","Non","Non","2","2","2014-05-23"
"Stade Bernard Blanchet","441800003","Saint-Mars-la-Jaille","44180","44540","","","Boulevard de la Haie-Danielle","[ 47.524624 , -1.184975]","-1.184975","47.524624","Non","Oui","Non","142000","Non","Non","25","2","Non","Non","Oui","Non","Non","Non","Non","4","4","2014-06-02"
"Complexe Sportif","441800005","Saint-Mars-la-Jaille","44180","44540","","","Boulevard Jules Ferry","[ 47.524624 , -1.184975]","-1.184975","47.524624","Non","Oui","Non","","Non","Non","35","3","Non","Non","Oui","Non","Non","Non","Non","6","5","2014-05-23"
"Parc du Plan D'Eau","441800006","Saint-Mars-la-Jaille","44180","44540","","","Rue neuve","[ 47.524624 , -1.184975]","-1.184975","47.524624","Non","Oui","Non","66436","Non","Non","50","2","Non","Non","Oui","Non","Non","Non","Non","6","6","2014-06-02"
"Circuits de Randonnees","441800008","Saint-Mars-la-Jaille","44180","44540","","","","[ 47.524624 , -1.184975]","-1.184975","47.524624","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","2","2","2014-06-27"
"Site du Chateau","441800009","Saint-Mars-la-Jaille","44180","44540","Le Chateau","","","[ 47.524624 , -1.184975]","-1.184975","47.524624","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2014-05-23"
"Site du Camping","441800010","Saint-Mars-la-Jaille","44180","44540","","","rue des Dureaux","[ 47.524624 , -1.184975]","-1.184975","47.524624","Oui","Non","Non","","Non","Non","5","0","Non","Non","Non","Non","Non","Non","Non","1","1","2014-05-23"
"Site de Charlotte","441800011","Saint-Mars-la-Jaille","44180","44540","La Champelière","","D9","[ 47.524624 , -1.184975]","-1.184975","47.524624","Oui","Non","Non","","Non","Non","3","0","Non","Non","Non","Non","Non","Non","Non","1","1","2014-05-23"
"Espace Multisports de la Charlotte","441800012","Saint-Mars-la-Jaille","44180","44540","","","rue de la Charlotte","[ 47.524624 , -1.184975]","-1.184975","47.524624","Non","Oui","Non","","Non","Non","60","5","Non","Non","Oui","Non","Non","Non","Non","5","5","2014-05-23"
"Salle de Sports","441810001","Saint-Même-le-Tenu","44181","44270","","","Place de la Mairie","[ 47.019826 , -1.795886]","-1.795886","47.019826","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","3","3","2014-06-27"
"Circuits de Randonnees","441810002","Saint-Même-le-Tenu","44181","44270","zone de loisirs","","","[ 47.019826 , -1.795886]","-1.795886","47.019826","Oui","Non","Non","","Non","Non","30","0","Non","Non","Oui","Non","Non","Non","Non","2","2","2014-10-08"
"Zone de Loisirs","441810003","Saint-Même-le-Tenu","44181","44270","","","","[ 47.019826 , -1.795886]","-1.795886","47.019826","Oui","Non","Non","","Non","Non","30","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2014-06-27"
"Motocross de L'Egonniere","441810004","Saint-Même-le-Tenu","44181","44270","L'Egonnière","","","[ 47.019826 , -1.795886]","-1.795886","47.019826","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2014-10-16"
"Ball Trap","441810005","Saint-Même-le-Tenu","44181","44270","La Gate","","voie communale no 1","[ 47.019826 , -1.795886]","-1.795886","47.019826","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2014-06-27"
"Centre des Mouettes","441820001","Saint-Michel-Chef-Chef","44182","44730","","34","av du Commandant L'Herminier","[ 47.180467 , -2.149204]","-2.149204","47.180467","Oui","Non","Non","","Avec logement de gardien","Non","15","1","Non","Non","Oui","Non","Oui","Non","Non","2","2","2013-09-26"
"Societe de Tir Micheloise et Tharonnaise","441820002","Saint-Michel-Chef-Chef","44182","44730","","","La Hervière","[ 47.180467 , -2.149204]","-2.149204","47.180467","Oui","Non","Non","18000","Non","Non","50","0","Non","Non","Oui","Non","Non","Non","Non","4","4","2011-09-23"
"Tennis du Mail","441820003","Saint-Michel-Chef-Chef","44182","44730","","","Le Mail","[ 47.180467 , -2.149204]","-2.149204","47.180467","Non","Oui","Non","3500","Non","Non","25","1","Non","Non","Oui","Non","Non","Non","Non","2","2","2011-09-23"
"Complexe de la Viauderie","441820004","Saint-Michel-Chef-Chef","44182","44730","","","Rue de la Viauderie","[ 47.180467 , -2.149204]","-2.149204","47.180467","Non","Oui","Non","90000","Sans logement de gardien","Non","110","4","Complexe sportif","Non","Oui","Non","Non","Non","Non","9","9","2011-09-23"
"Complexe Sportif de Comberge","441820005","Saint-Michel-Chef-Chef","44182","44730","","","Rue des Sports","[ 47.180467 , -2.149204]","-2.149204","47.180467","Oui","Non","Non","19000","Sans logement de gardien","Non","30","0","Non","Non","Oui","Non","Non","Non","Non","9","6","2011-09-23"
"Tharon Plage","441820008","Saint-Michel-Chef-Chef","44182","44730","","","bd de l'océan","[ 47.180467 , -2.149204]","-2.149204","47.180467","Non","Oui","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","4","4","2011-10-19"
"Plage de Gohaud","441820009","Saint-Michel-Chef-Chef","44182","44730","","","route de Gohaud","[ 47.180467 , -2.149204]","-2.149204","47.180467","Non","Oui","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","3","3","2011-10-19"
"Circuits de Randonnees","441820010","Saint-Michel-Chef-Chef","44182","44730","l'ouche jacquette","","","[ 47.180467 , -2.149204]","-2.149204","47.180467","Oui","Non","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","4","4","2011-10-19"
"Boulodrome","441820011","Saint-Michel-Chef-Chef","44182","44730","","","avenue de la convention","[ 47.180467 , -2.149204]","-2.149204","47.180467","Non","Oui","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","4","1","2011-10-19"
"Etang des Gatineaux","441820012","Saint-Michel-Chef-Chef","44182","44730","","","rue de l'etang","[ 47.180467 , -2.149204]","-2.149204","47.180467","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-10-19"
"Salle Malestroit","441820013","Saint-Michel-Chef-Chef","44182","44730","","","rue du Chevecier","[ 47.180467 , -2.149204]","-2.149204","47.180467","Non","Oui","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-09-23"
"Karting de la Princetiere","441820014","Saint-Michel-Chef-Chef","44182","44730","La Princetière","","rue des forgerons","[ 47.180467 , -2.149204]","-2.149204","47.180467","Oui","Non","Non","4865","Non","Non","15","1","Non","Non","Non","Non","Non","Non","Non","1","1","2011-04-15"
"Le Bois Roy","441820015","Saint-Michel-Chef-Chef","44182","44730","","","avenue du Cmmandant L'Herminier","[ 47.180467 , -2.149204]","-2.149204","47.180467","Oui","Non","Non","46800","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2011-09-23"
"Site de Plongee Epave Chasseur N°107","441820016","Saint-Michel-Chef-Chef","44182","44730","","","","[ 47.180467 , -2.149204]","-2.149204","47.180467","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-09-23"
"Terrain de Ball Trap","441820018","Saint-Michel-Chef-Chef","44182","44730","La Grenouillère","","","[ 47.180467 , -2.149204]","-2.149204","47.180467","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-11-17"
"Ecuries Georges Sugueron","441820019","Saint-Michel-Chef-Chef","44182","44730","","","route du Champ Chevallier","[ 47.180467 , -2.149204]","-2.149204","47.180467","Oui","Non","Non","","Avec logement de gardien","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2012-12-11"
"Square de Jade","441820020","Saint-Michel-Chef-Chef","44182","44730","","","avenue de la Convention","[ 47.180467 , -2.149204]","-2.149204","47.180467","Non","Oui","Non","500","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2011-09-23"
"Stade des Sports","441830001","Saint-Molf","44183","44350","le Pont Clin","","D 48","[ 47.391057 , -2.42567]","-2.42567","47.391057","Oui","Non","Non","23200","Non","Non","30","0","Non","Non","Non","Non","Non","Non","Non","2","2","2014-05-22"
"Complexe Sportif Roche Blanche","441830002","Saint-Molf","44183","44350","","","Rue de la Roche Blanche","[ 47.391057 , -2.42567]","-2.42567","47.391057","Oui","Non","Non","7600","Non","Non","150","0","Complexe sportif","Non","Oui","Non","Non","Non","Non","5","5","2014-05-22"
"Centre Equestre la Champagne","441830003","Saint-Molf","44183","44350","la Petite Champagne","","D 774","[ 47.391057 , -2.42567]","-2.42567","47.391057","Non","Oui","Non","600000","Avec logement de gardien","Oui","20","0","Non","Non","Non","Non","Non","Non","Non","5","5","2014-05-22"
"Lycee Professionnel Prive Kerguenec","441830004","Saint-Molf","44183","44350","Kerguenec","","","[ 47.391057 , -2.42567]","-2.42567","47.391057","Non","Oui","Non","","Avec logement de gardien","Non","0","0","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","3","3","2014-05-13"
"Xsl Painball","441830005","Saint-Molf","44183","44350","La petite Champagne","","DEP 774 - Route de Guérande Herbignac","[ 47.391057 , -2.42567]","-2.42567","47.391057","Non","Non","Non","","Avec logement de gardien","Non","20","0","Non","Non","Non","Non","Non","Non","Non","3","3","2014-05-22"
"Parc Aventure Monkey Forest","441830006","Saint-Molf","44183","44350","","","Route de Guérande-Herbignac","[ 47.391057 , -2.42567]","-2.42567","47.391057","Oui","Non","Non","50000","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","2","2","2014-10-08"
"Circuits et Sentiers","441830007","Saint-Molf","44183","44350","","","Rue des Epis","[ 47.391057 , -2.42567]","-2.42567","47.391057","Oui","Non","Non","","Non","Oui","30","2","Non","Non","Non","Non","Non","Non","Non","1","1","2014-05-22"
"Complexe Sportif Leo Lagrange","441840001","Saint-Nazaire","44184","44600","","7","avenue Coubertin","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Sans logement de gardien","Non","","","Complexe sportif","Non","Oui","Non","Non","Non","Non","6","6","2012-05-15"
"Gymnase Ferdinand Buisson","441840002","Saint-Nazaire","44184","44600","","108","chemin de Porcé","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Sans logement de gardien","Non","55","1","Non","Non","Oui","Non","Non","Non","Non","2","2","2012-04-24"
"Complexe Sportif Pierre de Coubertin","441840003","Saint-Nazaire","44184","44600","","18","boulevard Pierre de Coubertin","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Sans logement de gardien","Non","50","4","Non","Non","Oui","Non","Non","Non","Non","2","2","2012-06-26"
"Gymnase Jules Ferry","441840004","Saint-Nazaire","44184","44600","","26","rue Mozart","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Sans logement de gardien","Non","7","1","Non","Non","Oui","Non","Non","Non","Non","1","1","2012-05-02"
"Villes Martin","441840005","Saint-Nazaire","44184","44600","","7","rue Ferdinand Buisson","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Sans logement de gardien","Non","40","1","Non","Non","Oui","Non","Non","Non","Non","2","2","2012-05-09"
"Complexe Marc Garnier","441840006","Saint-Nazaire","44184","44600","","","rue Clément Ader","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Sans logement de gardien","Non","","","Complexe sportif","Non","Oui","Non","Non","Non","Non","3","3","2012-05-15"
"Complexe Sportif Leon Blum","441840007","Saint-Nazaire","44184","44600","","95","route des Frechets","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Sans logement de gardien","Non","50","0","Complexe sportif","Non","Oui","Non","Non","Non","Non","3","3","2012-04-30"
"Stade Leo Lagrange","441840008","Saint-Nazaire","44184","44600","","","Avenue Coubertin","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Sans logement de gardien","Non","","","Complexe sportif","Non","Oui","Non","Non","Non","Non","8","7","2012-04-24"
"Complexe Sportif de la Soucoupe","441840009","Saint-Nazaire","44184","44600","","","Avenue Léo Lagrange","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Avec logement de gardien","Non","80","3","Complexe sportif","Non","Oui","Non","Non","Non","Non","4","4","2012-04-30"
"Complexe Sportif de Porce","441840010","Saint-Nazaire","44184","44600","","","Chemin de Porcé","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Sans logement de gardien","Non","50","0","Complexe sportif","Non","Oui","Non","Non","Non","Non","8","7","2012-05-14"
"Gymnase de Kerlede","441840011","Saint-Nazaire","44184","44600","","","rue Alphonse Daudet","[ 47.278984 , -2.210437]","-2.210437","47.278984","Oui","Non","Non","","Non","Non","40","1","Non","Non","Oui","Non","Non","Non","Non","2","2","2012-05-11"
"Complexe Sportif de L'Immaculee","441840012","Saint-Nazaire","44184","44600","","","Route de Beauregard - allée Malraux","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Sans logement de gardien","Non","20","3","Complexe sportif","Non","Oui","Non","Non","Non","Non","3","3","2012-04-26"
"Le Bois Joalland","441840013","Saint-Nazaire","44184","44600","","","Route de Quelmer - Bois Joalland","[ 47.278984 , -2.210437]","-2.210437","47.278984","Oui","Non","Non","","Non","Non","","","Non","Non","Oui","Non","Non","Non","Non","5","5","2012-05-11"
"Stand de Tir des Quebrais","441840016","Saint-Nazaire","44184","44600","","56 bis","Route des Québrais","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Non","Non","25","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2012-06-25"
"Complexe Sportif Reton","441840018","Saint-Nazaire","44184","44600","","","Rue Broodcoorens","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Sans logement de gardien","Non","60","0","Complexe sportif","Non","Oui","Non","Non","Non","Non","11","7","2012-05-02"
"Gymnase Gambetta","441840020","Saint-Nazaire","44184","44600","","","Rue de Cardurand","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Sans logement de gardien","Non","50","1","Non","Non","Oui","Non","Non","Non","Non","2","2","2012-04-24"
"Complexe Sportif de la Berthauderie","441840021","Saint-Nazaire","44184","44600","","","Rue du Plessis","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Sans logement de gardien","Non","40","0","Complexe sportif","Non","Oui","Non","Non","Non","Non","6","6","2012-04-26"
"Gymnase Carnot","441840022","Saint-Nazaire","44184","44600","","","Rue du Traict","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Sans logement de gardien","Non","","","Non","Non","Oui","Non","Non","Non","Non","2","2","2012-05-16"
"Complexe Sportif Saint Marc","441840023","Saint-Nazaire","44184","44600","","","Rue le Délezir","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Sans logement de gardien","Non","36","1","Complexe sportif","Non","Oui","Non","Non","Non","Non","2","2","2012-04-26"
"Complexe Sportif Heinlex","441840024","Saint-Nazaire","44184","44600","","","Rue P.M. JURET","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Sans logement de gardien","Non","25","0","Complexe sportif","Non","Oui","Non","Non","Non","Non","5","5","2012-05-14"
"Gymnase de la Bouletterie","441840025","Saint-Nazaire","44184","44600","","","Rue Pitre Grenapin","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Sans logement de gardien","Non","34","1","Non","Non","Oui","Non","Non","Non","Non","1","1","2012-04-30"
"Quality Suites","441840026","Saint-Nazaire","44184","44600","","47","bd de la Libération","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Sans logement de gardien","Non","","","Non","Non","Oui","Non","Oui","Non","Non","2","2","2012-12-10"
"Aquilon","441840027","Saint-Nazaire","44184","44600","","2","rue Michel Ange","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Avec logement de gardien","Non","70","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2012-12-20"
"College Lycee Saint Louis","441840028","Saint-Nazaire","44184","44600","","10","rue Albert 1er","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Non","Non","","","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","14","12","2012-05-14"
"Gymnase Sainte Therese","441840029","Saint-Nazaire","44184","44600","","31","Rue Jean Jaurès","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Non","Non","0","","Non","Non","Oui","Non","Non","Non","Non","2","2","2012-05-14"
"Equilibre","441840030","Saint-Nazaire","44184","44600","","38","AV TOUTES AIDES","[ 47.278984 , -2.210437]","-2.210437","47.278984","Oui","Non","Non","","Non","Non","","","Non","Non","Oui","Non","Oui","Non","Non","1","1","2012-12-10"
"Sport Club Oceanis","441840031","Saint-Nazaire","44184","44600","Zonne Océanis","14","Rue de l'étoile du matin","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Non","Non","","","Non","Non","Oui","Non","Non","Non","Non","7","5","2012-12-10"
"Poney Club des Landes de Cuneix","441840032","Saint-Nazaire","44184","44600","","8","Route de Cuneix","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Non","Non","10","0","Non","Non","Oui","Non","Non","Non","Non","4","4","2012-12-10"
"Centre Equestre du Sabot D'Or","441840033","Saint-Nazaire","44184","44600","","79","route du vivier","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Non","Non","10","0","Non","Non","Oui","Non","Non","Non","Non","4","4","2012-12-10"
"Complexe du Pre Hembert Rugby","441840034","Saint-Nazaire","44184","44600","","4","Rue Albert Einstein","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Sans logement de gardien","Non","","","Non","Non","Oui","Non","Non","Non","Non","4","3","2012-05-09"
"Installations du Quartier Prézégat","441840035","Saint-Nazaire","44184","44600","","","Rue Edgar Degas","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Non","Non","","","Non","Non","Oui","Non","Non","Non","Non","3","3","2012-05-11"
"Bois D'Avalix","441840036","Saint-Nazaire","44184","44600","","","Rue Marcelin Berthelot","[ 47.278984 , -2.210437]","-2.210437","47.278984","Oui","Non","Non","","Non","Non","","","Non","Non","Oui","Non","Non","Non","Non","2","2","2012-05-11"
"Groupe Scolaire Pierre Brossolette","441840037","Saint-Nazaire","44184","44600","","34","Rue Guy de Maupassant","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Non","Non","0","0","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","1","1","2012-05-11"
"Groupe Scolaire Pierre et Marie Curie","441840038","Saint-Nazaire","44184","44600","","2","Rue Georges Sand","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Non","Non","50","2","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","4","4","2012-05-11"
"Groupe Scolaire Victor Hugo","441840039","Saint-Nazaire","44184","44600","","9","Rue Etienne Jodelle","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Non","Non","","","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","2","2","2012-05-09"
"Groupe Scolaire Jean Jaures","441840040","Saint-Nazaire","44184","44600","","14","Boulevard Léon Gambetta","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Non","Non","","","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","2","1","2012-05-09"
"Groupe Scolaire Jean Zay","441840041","Saint-Nazaire","44184","44600","","3","Rue Ambroise Paré","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Non","Non","","","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","3","3","2012-05-11"
"Groupe Scolaire Lamartine","441840042","Saint-Nazaire","44184","44600","","31","Boulevard de la Libération","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Non","Non","","","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","1","1","2012-05-14"
"Groupe Scolaire Ernest Renand","441840043","Saint-Nazaire","44184","44600","","","Rue des Frères Monvoisin","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Non","Non","","","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","2","2","2012-05-11"
"Circuits de Randonnee","441840044","Saint-Nazaire","44184","44600","","","","[ 47.278984 , -2.210437]","-2.210437","47.278984","Oui","Non","Non","","Non","Oui","0","0","Non","Non","Oui","Non","Non","Non","Non","9","9","2012-06-26"
"Piscine Leo Lagrange","441840046","Saint-Nazaire","44184","44600","","","Boulevard de Coubertin","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Non","Non","50","4","Piscine","Non","Oui","Non","Non","Non","Non","3","3","2012-10-01"
"Piscine de la Bouletterie","441840047","Saint-Nazaire","44184","44600","","","Rue Pitre Grenapin","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Non","Non","40","2","Piscine","Non","Oui","Non","Non","Non","Non","2","2","2012-10-01"
"Etangs de Guindreff","441840048","Saint-Nazaire","44184","44600","","","Chemin de la Prévôté","[ 47.278984 , -2.210437]","-2.210437","47.278984","Oui","Non","Non","","Non","Non","","","Non","Non","Non","Non","Non","Non","Non","1","1","2012-05-11"
"Bowling de St Nazaire","441840049","Saint-Nazaire","44184","44600","zac Océanis","1","Allée de la mer d'Iroise","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Non","Non","","","Non","Non","Oui","Non","Non","Non","Non","2","2","2012-05-11"
"Port Desire","441840051","Saint-Nazaire","44184","44600","port Désiré","","","[ 47.278984 , -2.210437]","-2.210437","47.278984","Oui","Non","Non","","Non","Non","","","Non","Non","Oui","Non","Non","Non","Non","1","1","2012-05-16"
"Le Petit Gavy","441840052","Saint-Nazaire","44184","44600","port Gavy","","","[ 47.278984 , -2.210437]","-2.210437","47.278984","Oui","Non","Non","","Non","Non","","","Non","Non","Oui","Non","Non","Non","Non","1","1","2012-05-16"
"Prou Pascal Gym Douce","441840054","Saint-Nazaire","44184","44600","","91","rue du Maine","[ 47.278984 , -2.210437]","-2.210437","47.278984","Oui","Non","Non","","Avec logement de gardien","Non","","","Non","Non","Oui","Non","Non","Non","Non","1","1","2012-12-10"
"Asptt Saint Nazaire","441840055","Saint-Nazaire","44184","44600","","75","rue du Docteur Calmette","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Non","Non","20","0","Non","Non","Oui","Non","Non","Non","Non","2","2","2012-05-14"
"Complexe du Pre Hembert Football","441840056","Saint-Nazaire","44184","44600","","","rue Albert Einstein","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Sans logement de gardien","Non","","","Complexe sportif","Non","Oui","Non","Non","Non","Non","2","2","2012-05-09"
"Site de Plongee Epave Antonos Stratos","441840057","Saint-Nazaire","44184","44600","","","","[ 47.278984 , -2.210437]","-2.210437","47.278984","Oui","Non","Non","","Non","Non","","","Non","Non","Non","Non","Non","Non","Non","1","1","2012-06-11"
"Vital Fitness","441840059","Saint-Nazaire","44184","44600","L'Immaculée","","centre  Leclerc sodijour","[ 47.278984 , -2.210437]","-2.210437","47.278984","Oui","Non","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","2","2","2012-12-10"
"Femmes En Forme","441840060","Saint-Nazaire","44184","44600","","4","bd Victor Hugo","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2012-12-10"
"Urban Gym","441840061","Saint-Nazaire","44184","44600","","63","rue d'anjou","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2012-01-23"
"Installations du Quartier de la Trébale","441840062","Saint-Nazaire","44184","44600","","","Route des Fréchets","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Non","Non","","","Non","Non","Oui","Non","Non","Non","Non","3","3",""
"Installations du Quartier de la Bouletterie","441840063","Saint-Nazaire","44184","44600","","","","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Non","Non","","","Non","Non","Oui","Non","Non","Non","Non","4","4",""
"Boulodrome de St Marc","441840064","Saint-Nazaire","44184","44600","","","Avenue de St Nazaire","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Non","Non","0","","Non","Non","Oui","Non","Non","Non","Non","1","1",""
"Installations du Quartier de la Chesnaie","441840065","Saint-Nazaire","44184","44600","","","","[ 47.278984 , -2.210437]","-2.210437","47.278984","Non","Oui","Non","","Non","Non","0","","Non","Non","Oui","Non","Non","Non","Non","2","2",""
"Terrain Robespierre (La Berthauderie )","441840066","Saint-Nazaire","44184","44600","","","Rue François Villon","[ 47.278984 , -2.210437]","-2.210437","47.278984","Oui","Non","Non","","Non","Non","","","Non","Non","Oui","Non","Non","Non","Non","1","1","2012-05-11"
"Installations du Quartier Petit Caporal","441840067","Saint-Nazaire","44184","44600","","","Rue Guy de Maupassant","[ 47.278984 , -2.210437]","-2.210437","47.278984","Oui","Non","Non","","Non","Non","","","Non","Non","Oui","Non","Non","Non","Non","2","2",""
